"nome","linguagem","total_pr_aceitas","total_releases","data_coleta"
"infiniflow/ragflow","Go",8505,53,"2026-08-19T14:04:57.322Z"
"localsend/localsend","Dart",732,26,"2026-08-19T14:04:57.322Z"
"ChatGPTNextWeb/NextChat","TypeScript",912,77,"2026-08-19T14:04:57.322Z"
"addyosmani/agent-skills","JavaScript",133,9,"2026-08-19T14:04:57.322Z"
"MunGell/awesome-for-beginners","N/A",484,0,"2026-08-19T14:04:57.322Z"
"django/django","Python",10690,0,"2026-08-19T14:04:57.322Z"
"sveltejs/svelte","JavaScript",6785,635,"2026-08-19T14:04:57.322Z"
"PaddlePaddle/PaddleOCR","Python",3199,33,"2026-08-19T14:04:57.322Z"
"syncthing/syncthing","Go",2929,479,"2026-08-19T14:04:57.322Z"
"ByteByteGoHq/system-design-101","N/A",23,0,"2026-08-19T14:04:57.322Z"
"odysseus-dev/odysseus","Python",1432,0,"2026-08-19T14:04:57.322Z"
"OpenCut-app/OpenCut","TypeScript",192,3,"2026-08-19T14:04:57.322Z"
"laravel/laravel","Blade",1710,227,"2026-08-19T14:04:57.322Z"
"macrozheng/mall","Java",1,3,"2026-08-19T14:04:57.322Z"
"OpenHands/OpenHands","TypeScript",7504,133,"2026-08-19T14:04:57.322Z"
"bregman-arie/devops-exercises","Python",309,0,"2026-08-19T14:04:57.322Z"
"DopplerHQ/awesome-interview-questions","N/A",175,0,"2026-08-19T14:04:57.322Z"
"realworld-apps/realworld","TypeScript",435,0,"2026-08-19T14:04:57.322Z"
"koala73/worldmonitor","TypeScript",4623,43,"2026-08-19T14:04:57.322Z"
"Developer-Y/cs-video-courses","N/A",283,0,"2026-08-19T14:04:57.322Z"
"animate-css/animate.css","CSS",315,22,"2026-08-19T14:04:57.322Z"
"junegunn/fzf","Go",687,84,"2026-08-19T14:04:57.322Z"
"fighting41love/funNLP","Python",14,0,"2026-08-19T14:04:57.322Z"
"vitejs/vite","TypeScript",6608,713,"2026-08-19T14:04:57.322Z"
"tonsky/FiraCode","Clojure",145,29,"2026-08-19T14:04:57.322Z"
"lobehub/lobehub","TypeScript",7886,1000,"2026-08-19T14:04:57.322Z"
"mlabonne/llm-course","N/A",2,0,"2026-08-19T14:04:57.322Z"
"jesseduffield/lazygit","Go",2046,186,"2026-08-19T14:04:57.322Z"
"spring-projects/spring-boot","Java",200,352,"2026-08-19T14:04:57.322Z"
"bytedance/deer-flow","Python",1776,1,"2026-08-19T14:04:57.322Z"
"TapXWorld/ChinaTextbook","Roff",1,0,"2026-08-19T14:04:57.322Z"
"netdata/netdata","Go",12921,138,"2026-08-19T14:04:57.322Z"
"swisskyrepo/PayloadsAllTheThings","Python",560,5,"2026-08-19T14:04:57.322Z"
"hoppscotch/hoppscotch","TypeScript",2140,107,"2026-08-19T14:04:57.322Z"
"anuraghazra/github-readme-stats","JavaScript",1569,0,"2026-08-19T14:04:57.322Z"
"Egonex-AI/Understand-Anything","TypeScript",123,8,"2026-08-19T14:04:57.322Z"
"d2l-ai/d2l-zh","Python",1019,16,"2026-08-19T14:04:57.322Z"
"doocs/advanced-java","Java",94,1,"2026-08-19T14:04:57.322Z"
"Z4nzu/hackingtool","Python",59,0,"2026-08-19T14:04:57.322Z"
"coder/code-server","TypeScript",1750,253,"2026-08-19T14:04:57.322Z"
